==============================================================
FULL RUN + METRICS  |  ven. 19 juin 2026 16:25:07 CEST  |  host nodeGcor3
==============================================================

### pre-flight: GPU + cache shapes
OK: GPU present, cache shapes correct

### pre-flight: config
  concept_loss_weight : 0.1
  sparsity_weight     : 0.1
  continuity_weight   : 0.05
  seeds               : [1, 2, 3]
  epochs              : 100
OK: config sane

### clean stale results (cache + concept JSONs preserved)
  preserved cache: 8,7G
  preserved concept JSONs: OK

### guard
[guard] Checking training files for forbidden part-annotation references...
[guard] PASS — no part-annotation references found in training code.

### TRAIN GlobalCBM (step6)
[step6] device=cuda  epochs=100  seeds=[1, 2, 3]
[step6] num_concepts=108  num_classes=200
[step6][seed 1] epoch 1/100  loss=5.2208  cls=5.1544  concept=0.6636  train_acc=0.0326  val_loss=4.9481  val_cls=4.8709  val_concept=0.7719  val_acc=0.0745
[step6][seed 1] epoch 2/100  loss=4.5533  cls=4.4543  concept=0.9894  train_acc=0.1205  val_loss=4.2074  val_cls=4.0920  val_concept=1.1539  val_acc=0.1268
[step6][seed 1] epoch 3/100  loss=3.7831  cls=3.6519  concept=1.3122  train_acc=0.2565  val_loss=3.5274  val_cls=3.3863  val_concept=1.4104  val_acc=0.2481
[step6][seed 1] epoch 4/100  loss=3.1434  cls=2.9910  concept=1.5239  train_acc=0.3927  val_loss=3.0249  val_cls=2.8697  val_concept=1.5516  val_acc=0.3370
[step6][seed 1] epoch 5/100  loss=2.6595  cls=2.4940  concept=1.6545  train_acc=0.5019  val_loss=2.6270  val_cls=2.4607  val_concept=1.6632  val_acc=0.4416
[step6][seed 1] epoch 6/100  loss=2.2912  cls=2.1178  concept=1.7346  train_acc=0.5974  val_loss=2.3521  val_cls=2.1796  val_concept=1.7256  val_acc=0.4861
[step6][seed 1] epoch 7/100  loss=1.9944  cls=1.8161  concept=1.7829  train_acc=0.6791  val_loss=2.1481  val_cls=1.9737  val_concept=1.7439  val_acc=0.5495
[step6][seed 1] epoch 8/100  loss=1.7585  cls=1.5773  concept=1.8123  train_acc=0.7352  val_loss=1.9472  val_cls=1.7696  val_concept=1.7765  val_acc=0.5940
[step6][seed 1] epoch 9/100  loss=1.5586  cls=1.3766  concept=1.8204  train_acc=0.7794  val_loss=1.8153  val_cls=1.6394  val_concept=1.7597  val_acc=0.5984
[step6][seed 1] epoch 10/100  loss=1.3886  cls=1.2060  concept=1.8256  train_acc=0.8114  val_loss=1.7019  val_cls=1.5235  val_concept=1.7841  val_acc=0.6407
[step6][seed 1] epoch 11/100  loss=1.2390  cls=1.0564  concept=1.8261  train_acc=0.8487  val_loss=1.6059  val_cls=1.4291  val_concept=1.7673  val_acc=0.6607
[step6][seed 1] epoch 12/100  loss=1.1137  cls=0.9323  concept=1.8145  train_acc=0.8709  val_loss=1.5242  val_cls=1.3481  val_concept=1.7618  val_acc=0.6774
[step6][seed 1] epoch 13/100  loss=1.0057  cls=0.8249  concept=1.8084  train_acc=0.8942  val_loss=1.4638  val_cls=1.2860  val_concept=1.7779  val_acc=0.6852
[step6][seed 1] epoch 14/100  loss=0.9106  cls=0.7316  concept=1.7899  train_acc=0.9182  val_loss=1.4040  val_cls=1.2317  val_concept=1.7226  val_acc=0.6763
[step6][seed 1] epoch 15/100  loss=0.8179  cls=0.6402  concept=1.7775  train_acc=0.9335  val_loss=1.3882  val_cls=1.2180  val_concept=1.7021  val_acc=0.6785
[step6][seed 1] epoch 16/100  loss=0.7474  cls=0.5719  concept=1.7543  train_acc=0.9454  val_loss=1.3125  val_cls=1.1441  val_concept=1.6841  val_acc=0.6841
[step6][seed 1] epoch 17/100  loss=0.6775  cls=0.5047  concept=1.7279  train_acc=0.9568  val_loss=1.3086  val_cls=1.1413  val_concept=1.6729  val_acc=0.6841
[step6][seed 1] epoch 18/100  loss=0.6180  cls=0.4469  concept=1.7111  train_acc=0.9621  val_loss=1.2595  val_cls=1.0942  val_concept=1.6527  val_acc=0.7130
[step6][seed 1] epoch 19/100  loss=0.5703  cls=0.4014  concept=1.6890  train_acc=0.9753  val_loss=1.2386  val_cls=1.0780  val_concept=1.6056  val_acc=0.7019
[step6][seed 1] epoch 20/100  loss=0.5229  cls=0.3569  concept=1.6600  train_acc=0.9827  val_loss=1.2472  val_cls=1.0872  val_concept=1.6000  val_acc=0.6930
[step6][seed 1] epoch 21/100  loss=0.4865  cls=0.3222  concept=1.6438  train_acc=0.9851  val_loss=1.2284  val_cls=1.0697  val_concept=1.5872  val_acc=0.6974
[step6][seed 1] epoch 22/100  loss=0.4462  cls=0.2843  concept=1.6193  train_acc=0.9876  val_loss=1.2446  val_cls=1.0900  val_concept=1.5469  val_acc=0.7075
[step6][seed 1] epoch 23/100  loss=0.4140  cls=0.2546  concept=1.5944  train_acc=0.9916  val_loss=1.2192  val_cls=1.0658  val_concept=1.5338  val_acc=0.7097
[step6][seed 1] epoch 24/100  loss=0.3858  cls=0.2285  concept=1.5726  train_acc=0.9951  val_loss=1.1863  val_cls=1.0365  val_concept=1.4977  val_acc=0.7008
[step6][seed 1] epoch 25/100  loss=0.3666  cls=0.2119  concept=1.5471  train_acc=0.9951  val_loss=1.2086  val_cls=1.0625  val_concept=1.4606  val_acc=0.7097
[step6][seed 1] epoch 26/100  loss=0.3402  cls=0.1882  concept=1.5204  train_acc=0.9969  val_loss=1.1840  val_cls=1.0399  val_concept=1.4416  val_acc=0.7208
[step6][seed 1] epoch 27/100  loss=0.3187  cls=0.1688  concept=1.4994  train_acc=0.9980  val_loss=1.1836  val_cls=1.0410  val_concept=1.4258  val_acc=0.7197
